#,Project,Category,Description,GitHub,Status,Source
506,OSRM Backend,Maps / Geo,Routing engine,https://github.com/Project-OSRM/osrm-backend,To Review,Curated GitHub list
507,Pelias,Maps / Geo,Geocoder platform,https://github.com/pelias/pelias,To Review,Curated GitHub list
508,Nominatim,Maps / Geo,OpenStreetMap geocoder,https://github.com/osm-search/Nominatim,To Review,Curated GitHub list
509,Photon,Self-hosted / Personal,Geocoder for OpenStreetMap,https://github.com/komoot/photon,To Review,Curated GitHub list
510,OpenRouteService,Maps / Geo,Routing services,https://github.com/GIScience/openrouteservice,To Review,Curated GitHub list
511,Organic Maps,Maps / Geo,Offline maps app,https://github.com/organicmaps/organicmaps,To Review,Curated GitHub list
512,StreetComplete,Developer Tools,OSM contribution app,https://github.com/streetcomplete/StreetComplete,To Review,Curated GitHub list
513,QGIS,Maps / Geo,Desktop GIS software,https://github.com/qgis/QGIS,To Review,Curated GitHub list
514,PostGIS,Data / Analytics,Spatial database extender,https://github.com/postgis/postgis,To Review,Curated GitHub list
515,GeoServer,Data / Analytics,Geospatial data server,https://github.com/geoserver/geoserver,To Review,Curated GitHub list
516,GDAL,Data / Analytics,Geospatial data abstraction library,https://github.com/OSGeo/gdal,To Review,Curated GitHub list
517,DuckDB,Data / Analytics,In-process analytical database,https://github.com/duckdb/duckdb,To Review,Curated GitHub list
518,SQLite,Data / Analytics,Lightweight SQL database mirror,https://github.com/sqlite/sqlite,To Review,Curated GitHub list
519,PostgreSQL,Data / Analytics,Relational database mirror,https://github.com/postgres/postgres,To Review,Curated GitHub list
520,MySQL Server,Data / Analytics,Relational database,https://github.com/mysql/mysql-server,To Review,Curated GitHub list
521,MariaDB Server,Data / Analytics,Open-source database server,https://github.com/MariaDB/server,To Review,Curated GitHub list
522,ClickHouse,Data / Analytics,Column-oriented database,https://github.com/ClickHouse/ClickHouse,To Review,Curated GitHub list
523,TimescaleDB,Data / Analytics,Time-series database,https://github.com/timescale/timescaledb,To Review,Curated GitHub list
524,QuestDB,Data / Analytics,Time-series database,https://github.com/questdb/questdb,To Review,Curated GitHub list
525,InfluxDB,Data / Analytics,Time-series database,https://github.com/influxdata/influxdb,To Review,Curated GitHub list
526,Apache Druid,Design / Frontend,Real-time analytics database,https://github.com/apache/druid,To Review,Curated GitHub list
527,Apache Pinot,Data / Analytics,Realtime OLAP datastore,https://github.com/apache/pinot,To Review,Curated GitHub list
528,Apache Cassandra,Data / Analytics,Distributed NoSQL database,https://github.com/apache/cassandra,To Review,Curated GitHub list
529,ScyllaDB,Data / Analytics,High-performance NoSQL database,https://github.com/scylladb/scylladb,To Review,Curated GitHub list
530,MongoDB,Data / Analytics,Document database,https://github.com/mongodb/mongo,To Review,Curated GitHub list
531,CouchDB,Data / Analytics,Document-oriented database,https://github.com/apache/couchdb,To Review,Curated GitHub list
532,ArangoDB,AI / ML,Multi-model database,https://github.com/arangodb/arangodb,To Review,Curated GitHub list
533,Neo4j,Data / Analytics,Graph database,https://github.com/neo4j/neo4j,To Review,Curated GitHub list
534,SurrealDB,AI / ML,Multi-model cloud database,https://github.com/surrealdb/surrealdb,To Review,Curated GitHub list
535,FerretDB,Developer Tools,Open-source MongoDB alternative,https://github.com/FerretDB/FerretDB,To Review,Curated GitHub list
536,Neon,Data / Analytics,Serverless Postgres platform,https://github.com/neondatabase/neon,To Review,Curated GitHub list
537,YugabyteDB,Data / Analytics,Distributed SQL database,https://github.com/yugabyte/yugabyte-db,To Review,Curated GitHub list
538,CockroachDB,Data / Analytics,Distributed SQL database,https://github.com/cockroachdb/cockroach,To Review,Curated GitHub list
539,TiDB,Data / Analytics,Distributed SQL database,https://github.com/pingcap/tidb,To Review,Curated GitHub list
540,Vitess,Data / Analytics,Database clustering for MySQL,https://github.com/vitessio/vitess,To Review,Curated GitHub list
541,Greenplum,Data / Analytics,Analytics database,https://github.com/greenplum-db/gpdb,To Review,Curated GitHub list
542,Apache Arrow,Data / Analytics,Columnar data format,https://github.com/apache/arrow,To Review,Curated GitHub list
543,Polars,Data / Analytics,Fast DataFrame library,https://github.com/pola-rs/polars,To Review,Curated GitHub list
544,Pandas,Data / Analytics,Data analysis library,https://github.com/pandas-dev/pandas,To Review,Curated GitHub list
545,NumPy,Developer Tools,Scientific computing library,https://github.com/numpy/numpy,To Review,Curated GitHub list
546,SciPy,Developer Tools,Scientific computing toolkit,https://github.com/scipy/scipy,To Review,Curated GitHub list
547,Matplotlib,Developer Tools,Plotting library,https://github.com/matplotlib/matplotlib,To Review,Curated GitHub list
548,Seaborn,Data / Analytics,Statistical data visualization,https://github.com/mwaskom/seaborn,To Review,Curated GitHub list
549,Plotly.py,Design / Frontend,Interactive charts for Python,https://github.com/plotly/plotly.py,To Review,Curated GitHub list
550,Streamlit,Data / Analytics,Data apps framework,https://github.com/streamlit/streamlit,To Review,Curated GitHub list
551,Gradio,Design / Frontend,ML app interface builder,https://github.com/gradio-app/gradio,To Review,Curated GitHub list
552,Jupyter Notebook,Data / Analytics,Interactive notebooks,https://github.com/jupyter/notebook,To Review,Curated GitHub list
553,JupyterLab,Developer Tools,Web-based interactive dev environment,https://github.com/jupyterlab/jupyterlab,To Review,Curated GitHub list
554,Apache Zeppelin,Data / Analytics,Web notebooks for data analytics,https://github.com/apache/zeppelin,To Review,Curated GitHub list
555,Evidence,Data / Analytics,BI as code,https://github.com/evidence-dev/evidence,To Review,Curated GitHub list
556,Lightdash,Data / Analytics,BI for dbt,https://github.com/lightdash/lightdash,To Review,Curated GitHub list
557,Cube,Data / Analytics,Semantic layer for analytics,https://github.com/cube-js/cube,To Review,Curated GitHub list
558,Rill,Data / Analytics,Operational BI,https://github.com/rilldata/rill,To Review,Curated GitHub list
559,Grafana Tempo,Developer Tools,Distributed tracing backend,https://github.com/grafana/tempo,To Review,Curated GitHub list
560,Elasticsearch,Data / Analytics,Search and analytics engine,https://github.com/elastic/elasticsearch,To Review,Curated GitHub list
561,Apache Solr,Developer Tools,Search platform,https://github.com/apache/solr,To Review,Curated GitHub list
562,Vespa,Developer Tools,Search and recommendation engine,https://github.com/vespa-engine/vespa,To Review,Curated GitHub list
563,ZincSearch,Data / Analytics,Lightweight search engine,https://github.com/zincsearch/zincsearch,To Review,Curated GitHub list
564,Quickwit,Design / Frontend,Search engine for logs and traces,https://github.com/quickwit-oss/quickwit,To Review,Curated GitHub list
565,Manticore Search,Data / Analytics,Search database,https://github.com/manticoresoftware/manticoresearch,To Review,Curated GitHub list
566,Tantivy,Design / Frontend,Full-text search engine library,https://github.com/quickwit-oss/tantivy,To Review,Curated GitHub list
567,Typesense DocSearch Scraper,Productivity / Collaboration,Docs search scraper,https://github.com/typesense/typesense-docsearch-scraper,To Review,Curated GitHub list
568,Algolia DocSearch,Productivity / Collaboration,Documentation search crawler,https://github.com/algolia/docsearch,To Review,Curated GitHub list
569,Weaviate,AI / ML,AI-native vector database,https://github.com/weaviate/weaviate,To Review,Curated GitHub list
570,LanceDB,AI / ML,Vector database for AI,https://github.com/lancedb/lancedb,To Review,Curated GitHub list
571,Marqo,AI / ML,Vector search engine,https://github.com/marqo-ai/marqo,To Review,Curated GitHub list
572,txtai,AI / ML,Embeddings database and workflows,https://github.com/neuml/txtai,To Review,Curated GitHub list
573,Haystack,AI / ML,LLM app framework,https://github.com/deepset-ai/haystack,To Review,Curated GitHub list
574,Rasa,AI / ML,Conversational AI framework,https://github.com/RasaHQ/rasa,To Review,Curated GitHub list
575,Botpress,AI / ML,AI agent platform,https://github.com/botpress/botpress,To Review,Curated GitHub list
576,Chatbot UI,AI / ML,ChatGPT-style UI,https://github.com/mckaywrigley/chatbot-ui,To Review,Curated GitHub list
577,LibreChat,AI / ML,ChatGPT-style AI chat platform,https://github.com/danny-avila/LibreChat,To Review,Curated GitHub list
578,NextChat,AI / ML,ChatGPT web UI,https://github.com/ChatGPTNextWeb/NextChat,To Review,Curated GitHub list
579,Lobe Chat,AI / ML,AI chat interface,https://github.com/lobehub/lobe-chat,To Review,Curated GitHub list
580,Chatbox,AI / ML,Desktop AI client,https://github.com/Bin-Huang/chatbox,To Review,Curated GitHub list
581,GPT Researcher,AI / ML,Autonomous research agent,https://github.com/assafelovic/gpt-researcher,To Review,Curated GitHub list
582,AutoGPT,AI / ML,Autonomous AI agent,https://github.com/Significant-Gravitas/AutoGPT,To Review,Curated GitHub list
583,BabyAGI,AI / ML,Task-driven autonomous agent,https://github.com/yoheinakajima/babyagi,To Review,Curated GitHub list
584,CrewAI,AI / ML,Multi-agent automation framework,https://github.com/crewAIInc/crewAI,To Review,Curated GitHub list
585,AutoGen,AI / ML,Multi-agent AI framework,https://github.com/microsoft/autogen,To Review,Curated GitHub list
586,LangGraph,AI / ML,Agent workflow framework,https://github.com/langchain-ai/langgraph,To Review,Curated GitHub list
587,Open Interpreter,Business / Commerce,Natural language computer control,https://github.com/OpenInterpreter/open-interpreter,To Review,Curated GitHub list
588,SWE-agent,AI / ML,AI software engineering agent,https://github.com/SWE-agent/SWE-agent,To Review,Curated GitHub list
589,OpenHands,AI / ML,AI software development agents,https://github.com/All-Hands-AI/OpenHands,To Review,Curated GitHub list
590,Aider,AI / ML,AI pair programming in terminal,https://github.com/Aider-AI/aider,To Review,Curated GitHub list
591,Continue,AI / ML,Open-source AI code assistant,https://github.com/continuedev/continue,To Review,Curated GitHub list
592,Tabby,AI / ML,Self-hosted AI coding assistant,https://github.com/TabbyML/tabby,To Review,Curated GitHub list
593,CodeGeeX,AI / ML,AI coding assistant,https://github.com/THUDM/CodeGeeX,To Review,Curated GitHub list
594,GPT4All,AI / ML,Local AI chat app,https://github.com/nomic-ai/gpt4all,To Review,Curated GitHub list
595,llama.cpp,AI / ML,Run LLMs locally in C/C++,https://github.com/ggerganov/llama.cpp,To Review,Curated GitHub list
596,vLLM,AI / ML,Fast LLM inference engine,https://github.com/vllm-project/vllm,To Review,Curated GitHub list
597,Text Generation WebUI,AI / ML,Local LLM web UI,https://github.com/oobabooga/text-generation-webui,To Review,Curated GitHub list
598,TensorRT-LLM,AI / ML,LLM inference optimization,https://github.com/NVIDIA/TensorRT-LLM,To Review,Curated GitHub list
599,Transformers,AI / ML,ML model library,https://github.com/huggingface/transformers,To Review,Curated GitHub list
600,Diffusers,AI / ML,Diffusion models library,https://github.com/huggingface/diffusers,To Review,Curated GitHub list
601,ripgrep,Developer Tools,Fast line-oriented search tool.,https://github.com/BurntSushi/ripgrep,To Review,Curated GitHub list
602,Apache Kafka,Data / Analytics,Distributed event streaming platform.,https://github.com/apache/kafka,To Review,Curated GitHub list
603,Excalidraw,Design / Frontend,Virtual whiteboard for sketching hand-drawn diagrams.,https://github.com/excalidraw/excalidraw,To Review,Curated GitHub list
604,scikit-learn,AI / ML,Machine learning library for Python.,https://github.com/scikit-learn/scikit-learn,To Review,Curated GitHub list
